col,revenue
1,1273716077.828981
2,36614916.5442155
3,295926448.17193043
4,112384796.2533331
6,705244644.8968524
7,980356509.4643145
10,1116232867.8264723
12,636551555.8710108
13,480032638.84157115
14,891437267.6387203
18,486625459.6783203
19,176031203.3080489
20,116898181.28714688
22,383122366.4729122
23,29857206.150775976
31,318675009.6129882
32,72218821.55528498
33,437843446.00292647
34,154713272.7993226
35,109705294.04718584
40,120492094.63026674
48,388609916.05014896
49,39528446.66096794
50,20769087.734456472
52,230532227.8351198
53,169430809.57615143
54,187720944.0619077
62,124671405.03903258
63,208578742.62434924
64,398134466.1429627
65,526673971.8033904
66,242985544.135315
85,387490927.86135465
93,119226691.39183672
98,25082257.68493446
99,230911205.05149117
100,132503598.80798364
101,62383978.91588141
102,3179845.030960976
103,389673360.04774934
109,424735203.9509943
110,242431811.88137087
112,433947615.2941375
113,613835610.2759162
114,787159691.2837871
116,199001687.70138583
118,282135199.4557391
130,379491519.25606424
131,104890296.78037576
132,145188644.98049155
133,106300857.66309536
134,247774736.6302969
138,81453851.07465284
139,105070724.66923043
140,87967749.29973124
141,83015483.3631002
147,206633209.96370366
150,176440055.55023706
155,467317962.14000607
176,41374603.36822836
190,175661557.39350766
192,243634448.95041847
193,167729256.5646407
194,316214667.46394646
198,287589485.52588457
199,398667465.34106225
200,743936754.6826258
204,95658086.24970938
205,123603413.44137453
206,237182113.7984496
207,136952188.50476038
209,52012482.29995834
211,4703445.745636464
212,63812108.02680757
224,19324235.447084654
227,90248985.5017138
228,193855539.13757968
229,68783130.30537757
230,8493890.631572416
231,182728772.71100083
234,32417978.16781389
236,32417978.16781389
245,77209496.7386652
250,45850591.28053075
253,113796480.02247351
258,31255778.123381976
259,26785058.082565125
260,35534073.228135884
261,35534073.228135884
262,35534073.228135884
263,369124754.6601491
264,35534073.228135884
265,35534073.228135884
266,35534073.228135884
267,35534073.228135884
268,35534073.228135884
269,35534073.228135884
270,22923293.204072848
271,35534073.228135884
272,35534073.228135884
273,18036042.936994366
280,37847.48413251641
287,269453110.6064848
289,202334575.53893864
290,126979715.96007958
309,62383978.91588141
311,119226691.39183672
325,16903810.63695652
326,40995914.47064811
327,32104732.78031767
328,151921545.7664013
333,287156459.1221568
334,138123317.81817523
335,101286754.46409418
336,37330503.818023846
343,99462079.68121177
349,113888232.45088476
350,189898683.69814074
351,87078771.13989748
352,122482542.59819876
366,111753492.0753196
368,165478798.76297608
374,79178707.60556024
378,346968075.64811355
380,95242722.11317506
381,136397129.8960946
382,61027505.24057845
383,79178707.60556024
385,61748428.748640396
386,63469169.15601081
387,100616434.56809324
388,80235595.99933012
389,91294338.08753894
398,1961285.8618652849
400,52479042.85711009
402,19027507.24876522
404,113543382.6890165
408,279376709.1877368
410,279376709.1877368
417,518015015.88092023
418,129421071.64258716
419,279376709.1877368
420,279376709.1877368
421,279376709.1877368
422,279376709.1877368
424,81909364.5435702
425,279376709.1877368
426,279376709.1877368
427,279376709.1877368
428,232951422.24678668
429,251659127.17910132
430,279376709.1877368
431,279376709.1877368
448,60054771.898343585
449,342624931.4820297
450,169301665.72724023
452,46751211.32021562
453,99130723.36962812
454,146656104.12471557
477,619978498.5415444
478,246807553.0070283
479,186945702.67131242
480,76162334.08749007
481,186945702.67131242
482,186945702.67131242
483,186945702.67131242
486,48899801.58666255
487,186945702.67131242
488,1343564158.5420237
500,308234327.326206
501,483973168.3149813
504,189589556.94621053
510,309009012.8787879
514,292275906.8548782
515,590998749.5078441
516,159352708.06442055
