col,revenue
1,573467112.5214578
7,796798808.9606675
8,717338947.0315944
10,832020923.8761319
24,368297731.98071045
27,144199362.68146735
28,64212764.40955375
29,75823312.1085948
30,483815338.621191
31,141514150.43640402
32,572623.0112209549
36,238608207.15623143
37,359170990.6712154
38,436440991.5084411
39,354569486.1727524
59,115379706.78774361
60,203359789.23513928
61,210756509.8353349
62,53817526.875708714
68,47936661.37944444
70,54332467.57549341
93,68925729.64674746
108,781374463.9922429
112,49725722.916183226
117,362464139.5809588
120,615334119.9720093
122,254911215.78367725
123,400011723.87923497
126,840931270.6145221
128,758914471.7214781
129,1020565083.5262071
131,61344925.86705227
135,94982619.81148607
136,352123882.8981347
138,157075104.29732832
139,287802334.75543475
142,433745239.4290164
148,145188644.98049155
149,192053165.70705315
150,243755058.02549398
151,137996890.03104833
152,145188644.98049155
153,272638922.26467294
154,495932537.9269235
156,120763997.47386765
179,134565802.91648138
182,275924.1577537321
185,158290400.24285713
190,153195586.48542044
192,1262070.9788752028
195,149062347.79027694
197,743936754.6826258
201,296399720.4283828
202,6987761.824383904
206,257229713.38089442
212,1607259.5758110175
223,171619182.2165589
224,14423775.57950244
228,27472750.08276708
239,851699587.5866005
240,361855930.2088527
241,113796480.02247351
243,212230689.9805936
244,168337980.23527923
258,6959426.1231395975
273,56265423.14505539
275,110623197.7307837
276,15779825.701979393
277,35534073.228135884
278,62361825.85171293
279,35534073.228135884
280,102536035.70398624
282,488024574.71162736
283,47458091.63389656
284,139197637.5289206
286,473393514.5954959
287,157261274.5102257
293,640638254.0773214
294,126066734.2080502
296,252247054.63959914
298,381895962.4022295
306,217942484.7903871
307,177181924.7783875
309,75128639.69397365
310,13058228.43731127
311,119226691.39183672
312,78631907.01950748
313,29524102.908294678
321,53599852.21063285
322,206623457.0548734
323,3661540.103965863
324,94585912.50632729
330,28917005.793239858
335,1286775.0398321713
339,228558004.82811055
347,91294338.08753894
348,210950608.65355253
355,91294338.08753894
356,182278302.64179194
366,360218567.148029
368,235404615.1704297
369,135013864.56852922
370,120577740.3023045
371,183107425.04905054
372,87861444.08499351
373,319467368.0774765
375,215779808.47328347
376,167344475.81693017
377,15471687.212773722
379,48193510.758415245
380,61656401.157518126
383,79178707.60556024
384,140940613.3449104
390,43611623.18219485
391,108582368.75179009
403,361273920.3807408
405,46751108.597544625
407,279376709.1877368
408,93426810.60772063
409,222056195.7032101
410,279376709.1877368
413,46496966.4535609
414,217271626.13608986
423,153487601.2226931
432,141620859.11276698
433,280242791.15905386
434,192825719.2643515
436,209038841.48808882
437,177797071.07824636
449,8264868.384038781
455,122436044.20399755
457,267590282.28520802
460,122680354.4848183
461,161623352.95935243
462,186945702.67131242
463,104130027.94272958
464,186945702.67131242
465,58397281.65978409
466,56003867.41519926
467,111726444.21164449
468,127307795.5787079
469,86886806.65771641
470,186945702.67131242
471,54605265.327855505
472,190545963.73208475
473,108852701.61417755
474,112011311.2373717
476,141579086.1965533
486,165343216.53972635
488,577171874.8005861
489,491862183.0282081
490,795280050.6915666
491,705574954.2315681
492,220662457.95348036
493,532929773.26833224
494,172240242.79500008
495,194726803.43215004
496,917111084.8186038
497,269749999.8590515
498,580740250.9488176
500,183768696.54004532
507,91798632.91950518
508,453698732.879975
510,212337817.78154135
511,302909079.2758371
512,2744770.8491556533
514,79401899.19075729
518,144592746.50830942
520,564440830.3034792
524,116376620.93085207
525,490760953.621927
527,762339741.2107784
531,279278228.7213723
535,159212900.77234623
539,54544285.356773116
541,486591614.9351353
545,120208337.30787733
546,77066954.84718339
547,169845762.23021778
548,233165135.38868198
550,497164767.09298325
551,326974403.6818769
554,98508270.81463596
555,272289840.75829303
556,583647368.3875877
557,243486494.35511678
558,81349099.89526248
559,591371178.3865699
560,80283.38214285714
561,190687517.2647884
562,454670945.1021591
563,84309716.73258926
564,23797205.591410242
566,27090880.882426854
568,21197991.07027359
569,19408636.30677354
576,39800650.487454765
578,238294056.92830366
580,30522527.452882696
583,4019277.1134589636
584,584057350.0771437
594,126301518.105998
595,14382633.40285302
596,103378624.15192166
597,145818372.77598476
598,298994007.5826448
599,156252952.17459846
601,117057237.73223011
602,434338201.74577266
605,93984454.02823529
606,15000704.735174622
607,124004142.08861068
608,98712996.03174603
628,23069235.672974437
630,309973408.0288965
633,19577649.037823834
636,58586754.67008295
638,107261523.95408006
639,105907228.06938773
640,17045820.507604282
642,17045820.507604282
647,199322496.45597282
648,565551412.7594898
664,392704127.14613324
665,191329886.09123883
666,1119102821.6526613
668,241616305.84429985
669,333275315.8373129
670,1196409449.7408211
671,350394902.52886665
673,229901108.2501762
686,74358262.27849808
687,74358262.27849808
707,25228268.616687115
708,19959007.704661664
710,181896.11430825636
711,735101567.1889433
715,1119102821.6526613
719,209008432.8052901
720,60551720.8068323
735,1119102821.6526613
736,445222092.0878146
737,406026778.9418718
738,380507409.9029654
750,605742001.8695345
751,444415307.60813504
752,507890644.3247469
770,561795323.4505086
771,537889842.4609892
776,128199817.41373228
792,98228487.88894789
793,139142.55688622754
794,117371275.38405849
795,247284018.2815795
796,569385920.6938633
798,213199846.21488568
799,396516589.31322646
800,694282334.5181174
814,42866106.08702454
816,42866106.08702454
818,57922562.185599655
851,56185124.68395531
852,133808024.49776824
853,88944248.88782525
859,30399246.33745248
865,594418204.3779871
869,133438470.34487917
870,248329320.80785975
871,53763025.28089887
873,184484213.9677276
874,78523814.28185694
876,311734663.88907176
877,39151170.568561874
878,257277467.81372014
879,1085544.8833344323
880,155524259.02716184
881,125423571.42857142
887,30694756.998251528
892,301073337.48744184
893,239484626.4222501
894,143427999.0209934
896,463600843.49103135
897,118896396.41808392
898,221851662.4809611
899,275607075.9370476
900,1094895627.4287727
903,298664044.44712126
904,229820119.95762706
905,2768858.552007433
906,120848303.76138979
907,302072278.31860214
908,196308465.86708263
909,347445950.2671154
911,130109505.36113554
912,333275315.8373129
913,181398270.82189348
915,368961707.13639855
930,581166011.8099378
931,181518339.93333757
932,418616194.55243176
933,235823649.76656687
934,19185980.7171913
943,369846273.49674505
944,513906103.4130247
945,362858345.18906355
946,547536057.6114813
947,475378787.96870655
948,41705113.60183472
949,224222425.03120568
950,245614966.47196162
952,68925729.64674746
956,15987498.155653134
957,72908966.05291273
959,6997810.157638037
960,95199168.00340167
966,41626453.29587196
967,6997810.157638037
968,6997810.157638037
970,25851909.6774215
971,188465628.8270818
972,63253946.96447664
979,90805335.15385906
981,119226691.39183672
982,168219015.74803147
983,119226691.39183672
996,321600132.3139365
997,113023180.56328821
998,202619701.0836499
999,376023008.8713289
1000,311044459.2355537
1011,12768216.154472675
1012,25847904.68298088
1015,52007281.73999729
1030,32387748.94723498
1032,59914737.819869876
1035,719404.7048013881
1038,45573146.9596256
1044,248346179.3841268
1045,61958868.83832464
1046,144021946.99698392
1047,145423864.14334247
1049,311284921.1029411
1051,544497037.8405789
1052,19705314.955449358
1053,55937976.89466446
1057,322134711.3082352
1058,492547691.6515522
1059,288674764.73436934
1060,557338469.475841
1061,380097372.7078668
1071,166321697.14600554
1073,166321697.14600554
1075,166321697.14600554
1076,166321697.14600554
1077,166321697.14600554
1090,208067303.41411924
1091,131221822.18742469
1092,141746656.47498575
1093,164690918.15819037
1094,127900127.50030605
1095,31589384.33038458
1096,255364585.2798558
1097,117423499.29721606
1098,293640971.3890619
1099,54616218.88273892
1100,278069822.1335294
1103,22346637.298091043
1108,129103380.4814393
1112,22670650.154041763
1113,274582746.26910055
1126,4297333.557452276
1129,4297333.557452276
1132,4297333.557452276
1134,2429856.5108942892
1135,51538600.68947175
1136,4297333.557452276
1146,19827020.780095786
1150,65568796.49731621
1151,183238373.2102333
1152,102942610.81827164
1153,210601587.08252776
1154,193589234.5026606
1155,153450448.37214896
1156,193589234.5026606
1157,114361969.18231729
1175,23087882.2464655
1176,45901169.60108014
1188,2310732.3531921455
1201,198249710.45627588
1202,102335323.2496234
1203,112304414.5428298
1205,283707234.3858823
1206,93515700.79440217
1213,313565482.0631627
1214,69366188.0935354
1215,197790179.12088534
1217,182873327.9972664
1221,39643995.85865541
1222,198032044.69413105
1223,167623363.64800346
1224,172112431.04895046
1225,81819772.25254148
1226,145368432.36215392
1227,56759452.347255684
1233,722054.8391238947
1241,3995437.1429290427
1243,110008997.91453044
1251,158304974.49658778
1252,121231492.06784128
1253,115987338.0237116
1254,52203445.61200959
1255,93969974.61512525
1258,82725584.23315004
1259,92825756.56831133
1260,249426994.44117078
1261,133655262.8478433
1262,108905133.62304369
1263,90312541.52413887
1264,99213932.67913254
1265,70138991.52762939
1266,135484093.6116716
1268,121231492.06784128
1269,458048882.31091106
