id,belongs_to_collection,budget,genres,homepage,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,runtime,spoken_languages,status,tagline,title,Keywords,cast,crew,revenue,adult,backdrop_path,video,vote_average,vote_count
16564,,4000000,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",http://www.sonyclassics.com/winterinwartime/,tt0795441,nl,Oorlogswinter,"During World War II in the freezing winter of 1944-45 the western Netherlands are in the grip of a famine. Many people move east to provide for their families. Fourteen year old Michiel can't wait to join the Dutch resistance, to the dismay of his father, who, as mayor, works to prevent escalations in the village.",8.788,/h5SQMEzDPosnkJRSMhAShebJIUB.jpg,"[{'id': 12046, 'logo_path': '/wauD5HrRmaR5TdQr0ylGTLyifpQ.png', 'name': 'Fu Works', 'origin_country': 'NL'}, {'id': 12045, 'logo_path': None, 'name': 'Isabella Films B.V.', 'origin_country': ''}, {'id': 11301, 'logo_path': None, 'name': 'Max TV', 'origin_country': ''}, {'id': 11931, 'logo_path': '/38bX28MdtlhBIgwv71KPqBqE7lO.png', 'name': 'Prime Time', 'origin_country': 'BE'}, {'id': 12047, 'logo_path': None, 'name': 'Isabella Films', 'origin_country': ''}]","[{'iso_3166_1': 'NL', 'name': 'Netherlands'}, {'iso_3166_1': 'BE', 'name': 'Belgium'}]",2008-11-17,103,"[{'english_name': 'German', 'iso_639_1': 'de', 'name': 'Deutsch'}, {'english_name': 'Dutch', 'iso_639_1': 'nl', 'name': 'Nederlands'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,"A country occupied, a child's innocence lost.",Winter in Wartime,,,,530048,False,/tVXUIwhmL5h17JMOXyjji0FTPCk.jpg,False,6.714,168.0
4566,,25000000,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}, {'id': 80, 'name': 'Crime'}]",http://michaelclayton.warnerbros.com/,tt0465538,en,Michael Clayton,"A law firm brings in its ""fixer"" to remedy the situation after a lawyer has a breakdown while representing a chemical company that he knows is guilty in a multi-billion dollar class action suit.",17.47,/hhkW4yVIGo8Bee3UITKvqOvhNMG.jpg,"[{'id': 97, 'logo_path': '/qv3ih9pR9w2XNKZDsqDqAGuZjqc.png', 'name': 'Castle Rock Entertainment', 'origin_country': 'US'}, {'id': 932, 'logo_path': None, 'name': 'Mirage Enterprises', 'origin_country': 'US'}, {'id': 129, 'logo_path': None, 'name': 'Section Eight', 'origin_country': 'US'}, {'id': 2089, 'logo_path': None, 'name': 'Samuels Media', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2007-09-28,120,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,The truth can be adjusted.,Michael Clayton,,,,92991835,False,/qyFg7CkPSsCrYhn1Wy2w3BRpUTy.jpg,False,6.768,1577.0
12779,,10000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",,tt0291502,en,Swept Away,"Stranded and alone on a desert island during a cruise, a spoiled rich woman and a deckhand fall in love and make a date to reunite after their rescue.",22.165,/rAa3nTeDpwgLX6XxnT3wR86C5WE.jpg,"[{'id': 57736, 'logo_path': None, 'name': 'Codi S.p.a.', 'origin_country': ''}, {'id': 3287, 'logo_path': '/bz6GbCQQXGNE56LTW9dwgksW0Iw.png', 'name': 'Screen Gems', 'origin_country': 'US'}, {'id': 13419, 'logo_path': None, 'name': 'SKA Films', 'origin_country': 'GB'}]","[{'iso_3166_1': 'IT', 'name': 'Italy'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2002-10-11,89,"[{'english_name': 'Italian', 'iso_639_1': 'it', 'name': 'Italiano'}, {'english_name': 'Greek', 'iso_639_1': 'el', 'name': 'ελληνικά'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Paradise makes strange bedfellows,Swept Away,,,,598645,False,/bzb6BDskaYbRvXMIENcqFdgwiY0.jpg,False,4.8,251.0
507,,1500000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",,tt0110265,en,Killing Zoe,"Zed is an American vault-cracker who travels to Paris to meet up with his old friend Eric. Eric and his gang have planned to raid the only bank in the city which is open on Bastille day. After offering his services, Zed soon finds himself trapped in a situation beyond his control when heroin abuse, poor planning and a call-girl named Zoe all conspire to turn the robbery into a very bloody siege.",12.659,/k3UEKMVnkljOlsO5sLmz87YGlaG.jpg,"[{'id': 37297, 'logo_path': None, 'name': 'PFG Entertainment', 'origin_country': ''}, {'id': 342, 'logo_path': None, 'name': 'Davis Films', 'origin_country': 'FR'}, {'id': 285, 'logo_path': None, 'name': 'Live Entertainment', 'origin_country': 'US'}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1993-10-01,96,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}]",Released,We go in. We get what we want. We come out.,Killing Zoe,,,,418961,False,/3yoyioAdnZNrhDv2eQwflfqm7b7.jpg,False,6.251,307.0
289,,878000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,tt0034583,en,Casablanca,"In Casablanca, Morocco in December 1941, a cynical American expatriate meets a former lover, with unforeseen complications.",44.029,/5K7cOHoay2mZusSLezBOY0Qxh8a.jpg,"[{'id': 174, 'logo_path': '/IuAlhI9eVC9Z8UQWOIDdWRKSEJ.png', 'name': 'Warner Bros. Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1943-01-15,102,"[{'english_name': 'German', 'iso_639_1': 'de', 'name': 'Deutsch'}, {'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}, {'english_name': 'Italian', 'iso_639_1': 'it', 'name': 'Italiano'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,They had a date with fate in Casablanca!,Casablanca,,,,10462500,False,/wOfzdzC0QZyhUIlyjeMuUYSb8Ax.jpg,False,8.167,5008.0
293660,"{'id': 448150, 'name': 'Deadpool Collection', 'poster_path': '/u9vctxUKeGRZ4x2Yiaqj2y3AeYv.jpg', 'backdrop_path': '/hBQOWY8qWXJVFAc8yLTh1teIu43.jpg'}",58000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}]",https://www.20thcenturystudios.com/movies/deadpool,tt1431045,en,Deadpool,"The origin story of former Special Forces operative turned mercenary Wade Wilson, who, after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.",118.321,/fSRb7vyIP8rQpL0I47P3qUsEKX3.jpg,"[{'id': 25, 'logo_path': '/qZCc1lty5FzX30aOCVRBLzaVmcp.png', 'name': '20th Century Fox', 'origin_country': 'US'}, {'id': 431, 'logo_path': '/6dcR1MbRqYgt3jUVYxkHe68GFnZ.png', 'name': ""The Donners' Company"", 'origin_country': 'US'}, {'id': 28788, 'logo_path': None, 'name': 'Genre Films', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2016-02-09,108,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Witness the beginning of a happy ending.,Deadpool,,,,783100000,False,/en971MEXui9diirXlogOrPKmsEn.jpg,False,7.607,29119.0
16995,,60000000,"[{'id': 53, 'name': 'Thriller'}]",http://www.stateofplaymovie.net/,tt0473705,en,State of Play,"When a congressional aide is killed, a Washington, D.C. journalist starts investigating the case involving the Representative, his old college friend.",28.473,/4f8nhHESDhAVKow2M1khmqDdatp.jpg,"[{'id': 1683, 'logo_path': None, 'name': 'Andell Entertainment', 'origin_country': ''}, {'id': 33, 'logo_path': '/8lvHyhjr8oUKOOy2dKXoALWKdp0.png', 'name': 'Universal Pictures', 'origin_country': 'US'}, {'id': 10163, 'logo_path': '/16KWBMmfPX0aJzDExDrPxSLj0Pg.png', 'name': 'Working Title Films', 'origin_country': 'GB'}, {'id': 694, 'logo_path': '/5LEHONGkZBIoWvp1ygHOF8iyi1M.png', 'name': 'StudioCanal', 'origin_country': 'FR'}, {'id': 7295, 'logo_path': '/62E1B91PxZw8q4KNkge5Qemo7EM.png', 'name': 'Relativity Media', 'origin_country': 'US'}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2009-04-17,127,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Cantonese', 'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}]",Released,Find the Truth,State of Play,,,,87812371,False,/mGBOnnWXmQ2TqZEgB5jHDVLgTHo.jpg,False,6.79,1791.0
7459,,120000000,"[{'id': 10751, 'name': 'Family'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}]",http://www.speedracerthemovie.warnerbros.com/,tt0811080,en,Speed Racer,"Speed Racer is the tale of a young and brilliant racing driver. When corruption in the racing leagues costs his brother his life, he must team up with the police and the mysterious Racer X to bring an end to the corruption and criminal activities. Inspired by the cartoon series.",29.958,/x800OyHuJ9JDuhHLtdPLkH1vBjw.jpg,"[{'id': 264, 'logo_path': '/fA90qwUKgPhMONqtwY60GaHRyrW.png', 'name': 'Studio Babelsberg', 'origin_country': 'DE'}, {'id': 79, 'logo_path': '/tpFpsqbleCzEE2p5EgvUq6ozfCA.png', 'name': 'Village Roadshow Pictures', 'origin_country': 'US'}, {'id': 1885, 'logo_path': '/xlvoOZr4s1PygosrwZyolIFe5xs.png', 'name': 'Silver Pictures', 'origin_country': 'US'}, {'id': 450, 'logo_path': None, 'name': 'Anarchos Productions', 'origin_country': 'US'}, {'id': 12170, 'logo_path': None, 'name': 'Velocity Productions', 'origin_country': 'GB'}, {'id': 174, 'logo_path': '/IuAlhI9eVC9Z8UQWOIDdWRKSEJ.png', 'name': 'Warner Bros. Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2008-05-07,135,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Go!,Speed Racer,,,,93945766,False,/kH14XvCHKfMRz1sNsAMY0KpAKb0.jpg,False,6.261,1430.0
1600,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 9648, 'name': 'Mystery'}, {'id': 14, 'name': 'Fantasy'}]",,tt0101765,fr,La Double Vie de Véronique,"Véronique is a beautiful young French woman who aspires to be a renowned singer; Weronika lives in Poland, has a similar career goal and looks identical to Véronique, though the two are not related. The film follows both women as they contend with the ups and downs of their individual lives, with Véronique embarking on an unusual romance with Alexandre Fabbri, a puppeteer who may be able to help her with her existential issues.",31.879,/oqRyO9xrNBRaxqF9pCHHgLuaATx.jpg,"[{'id': 63751, 'logo_path': None, 'name': 'Sidéral Productions', 'origin_country': ''}, {'id': 7984, 'logo_path': None, 'name': 'Zespól Filmowy ""Tor""', 'origin_country': ''}, {'id': 12984, 'logo_path': None, 'name': 'Norsk Film', 'origin_country': 'NO'}, {'id': 104, 'logo_path': '/9aotxauvc9685tq9pTcRJszuT06.png', 'name': 'Canal+', 'origin_country': 'FR'}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'NO', 'name': 'Norway'}, {'iso_3166_1': 'PL', 'name': 'Poland'}]",1991-05-15,98,"[{'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}, {'english_name': 'Italian', 'iso_639_1': 'it', 'name': 'Italiano'}, {'english_name': 'Polish', 'iso_639_1': 'pl', 'name': 'Polski'}]",Released,"Each of us is matched somewhere in the world, by our exact double - someone who shares our thoughts and dreams.",The Double Life of Véronique,,,,1999955,False,/3ekis9Ry3lNwRzfh5rRhkLqfeVm.jpg,False,7.5,697.0
29987,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,tt0352343,it,La finestra di fronte,"Overburdened and stuck in a greying marriage, Giovanna takes to caring for a Jewish Holocaust survivor her husband brings home. As she begins to reflect on her life, she turns to the man who lives across from her.",12.402,/1yeh5uQ6KgvxnInUYE0SYSUWd22.jpg,"[{'id': 3289, 'logo_path': None, 'name': 'Clap Filmes', 'origin_country': 'PT'}, {'id': 19385, 'logo_path': '/uLO7hNXFVCxVcKfHck7IRyNQeAa.png', 'name': 'R&C Produzioni', 'origin_country': 'IT'}, {'id': 25080, 'logo_path': None, 'name': 'AFS Film', 'origin_country': ''}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'IT', 'name': 'Italy'}, {'iso_3166_1': 'TR', 'name': 'Turkey'}, {'iso_3166_1': 'PT', 'name': 'Portugal'}]",2003-02-27,106,"[{'english_name': 'Italian', 'iso_639_1': 'it', 'name': 'Italiano'}]",Released,Desire knows no bounds.,Facing Windows,,,,15530077,False,/dcJLwvM8sRgnMyYRHF2dyOg19z8.jpg,False,7.004,264.0
15927,,8000000,"[{'id': 18, 'name': 'Drama'}, {'id': 12, 'name': 'Adventure'}, {'id': 36, 'name': 'History'}]",,tt0087892,en,A Passage to India,"Set during the period of growing influence of the Indian independence movement in the British Raj, the story begins with the arrival in India of a British woman, Miss Adela Quested, who is joining her fiancé, a city magistrate named Ronny Heaslop. She and Ronny's mother, Mrs. Moore, befriend an Indian doctor, Aziz H. Ahmed.",12.248,/rvBWlGRKte2U6qElHV13h6JvmSe.jpg,"[{'id': 538, 'logo_path': None, 'name': 'EMI Films', 'origin_country': 'GB'}, {'id': 211060, 'logo_path': None, 'name': 'John Brabourne and Richard Goodwyn Productions', 'origin_country': ''}, {'id': 7429, 'logo_path': '/6in9uMqxXEHx5XgYgkeRBpZ4rPw.png', 'name': 'HBO Films', 'origin_country': 'US'}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1984-12-14,163,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Hindi', 'iso_639_1': 'hi', 'name': 'हिन्दी'}]",Released,"David Lean, the Director of ""Doctor Zhivago"", ""Lawrence of Arabia"" and ""The Bridge on the River Kwai"", invites you on . .",A Passage to India,,,,27201487,False,/vhexJUk3sTEldSl3cI3eRzt6SZ5.jpg,False,6.803,262.0
21925,"{'id': 173344, 'name': 'Qatsi Collection', 'poster_path': '/fOi0oXDesuh9fZ2GRhJxDHb9WJW.jpg', 'backdrop_path': '/52XiAVvxt8ZzjWkqEGmHPrHnzMz.jpg'}",3000000,"[{'id': 99, 'name': 'Documentary'}]",https://www.koyaanisqatsi.org/,tt0145937,en,Naqoyqatsi,A visual montage portrait of our contemporary world dominated by globalized technology and violence.,8.851,/buDo6FcSlOVEQJomKB0IviNV0Do.jpg,"[{'id': 16645, 'logo_path': None, 'name': 'Santa Fe Institute for Regional Education', 'origin_country': ''}, {'id': 4596, 'logo_path': None, 'name': 'Qatsi Productions', 'origin_country': ''}, {'id': 16644, 'logo_path': None, 'name': 'IRE Productions', 'origin_country': ''}, {'id': 14, 'logo_path': '/m6AHu84oZQxvq7n1rsvMNJIAsMu.png', 'name': 'Miramax', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2002-09-02,89,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Life as war,Naqoyqatsi,,,,13000,False,/qhQCEwJNHlLqb7p7UHA2q0iWBMd.jpg,False,6.104,125.0
37003,,15000000,"[{'id': 10402, 'name': 'Music'}, {'id': 99, 'name': 'Documentary'}]",http://www.u23dmovie.com/,tt0892375,en,U2 3D,"A 3-D presentation of U2's global ""Vertigo"" tour. Shot at seven different shows, this production employs the greatest number of 3-D cameras ever used for a single project.",2.534,,"[{'id': 80711, 'logo_path': None, 'name': '3ality Digital Entertainment', 'origin_country': ''}, {'id': 7521, 'logo_path': '/fRqMjLjyAqThtEg9P9WKCXLmCpJ.png', 'name': 'National Geographic', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2007-05-19,85,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Hear See Experience,U2 3D,,,,22730842,False,,False,7.2,20.0
