imdb_id,actor_id,actor_name,gender,popularity
tt1380152,84751,Kim Kang-woo,2,7.683
tt1380152,64453,Cho Jae-hyun,2,7.604
tt1380152,84752,Park Si-yeon,1,14.636
tt1380152,139507,Kim Joon-bae,2,3.438
tt1380152,2158882,Jang Hye-jin,1,16.486
tt1380152,1856377,Oh Dae-hwan,2,11.433
tt1380152,2706205,Choi Su-rin,1,2.744
tt0093743,35091,Scott Grimes,2,26.587
tt0093743,41217,Tom Bosley,2,5.821
tt0093743,56540,Rickie Lee Jones,1,3.113
tt0093743,15152,James Earl Jones,2,27.403
tt0093743,27726,Don Knotts,2,15.456
tt0093743,68812,Ed Asner,2,25.427
tt0093743,586497,Lana Beeson,1,1.264
tt0093743,586496,Linda Gary,1,6.831
tt0093743,123037,Jonathan Harris,2,12.263
tt0093743,15831,Frank Welker,2,31.434
tt0093743,8499,William Windom,2,12.661
tt1129437,228763,Nikola Rakočević,2,3.245
tt1129437,226141,Viktor Savić,1,1.821
tt1129437,81682,Bojana Novaković,1,15.373
tt1129437,85689,Nataša Tapušković,1,7.329
tt1129437,89904,Nikola Kojo,2,7.104
tt1129437,31648,Dragan Mićanović,2,6.048
tt1129437,119948,Srđan Miletić,0,3.683
tt1129437,1053839,Miloš Tanasković,0,0.6
tt1129437,111067,Predrag Ejdus,2,4.538
tt1129437,1345553,Jasmina Avramović,1,1.191
tt1129437,1053840,Vladimir Tešović,0,1.708
tt1129437,111074,Milan 'Caci' Mihailović,0,1.327
tt1129437,2925214,Bojan Lojković,0,0.6
tt1129437,1668520,Joana Knežević,0,0.84
tt1129437,3298089,Zoran Nastić,0,0.6
tt1129437,3298090,Bojan Buzdimirović,0,0.6
tt1129437,2385429,Miloš Petrović 'Trojpec',0,1.988
tt1129437,2818800,Lazar Sakan,0,0.6
tt1129437,2985637,Nikola Vasiljević,0,0.6
tt1129437,1046852,Marko Janketić,2,4.399
tt1129437,1053362,David Ibrović,0,0.6
tt1129437,1050140,Vujadin Milošević,0,0.84
tt1129437,2925215,Uroš Janković,0,0.6
tt1129437,85691,Vuk Kostić,2,6.512
tt1129437,1874389,Marko Gizdavić,0,2.208
tt1129437,3298091,Milan Ojdanić,0,0.6
tt1129437,1668501,Nikola Glišić,2,1.135
tt1129437,3298092,Igor Milić,0,0.6
tt1129437,1871578,Sani Meha,0,0.6
tt1129437,3298093,Vojo Miladić,0,0.6
tt1129437,3298094,Miloš Brčkalo,0,0.6
tt1129437,1531083,Đorđe Đoković,0,0.84
tt1129437,3179123,Nenad Meršnik,0,0.6
tt0391024,556951,Samir Khader,0,1.094
tt0391024,556952,Josh Rushing,2,1.052
tt0391024,556953,Hassan Ibrahim,2,0.98
tt0391024,3232392,Abdul Jabbar Al-Kubeisi,0,1.96
tt0391024,3232397,Nabeel Khoury,2,0.98
tt0391024,3232419,David Shuster,2,1.094
tt0391024,3232426,Tom Mintier,2,0.98
tt0391024,3232444,Muafak Tawfik,0,0.6
tt0391024,1744281,Omar Al-Issawi,0,1.96
tt0391024,3232458,Jihad Ali Ballout,2,1.4
tt0391024,19011,George W. Bush,2,5.162
tt0391024,95779,Donald Rumsfeld,2,1.819
tt0169547,1979,Kevin Spacey,2,19.116
tt0169547,516,Annette Bening,1,31.213
tt0169547,2155,Thora Birch,1,20.886
tt0169547,8210,Wes Bentley,2,27.177
tt0169547,8211,Mena Suvari,1,38.977
tt0169547,8212,Peter Gallagher,2,21.826
tt0169547,19,Allison Janney,1,32.925
tt0169547,2955,Chris Cooper,2,16.216
tt0169547,2154,Scott Bakula,2,17.786
tt0169547,8213,Sam Robards,2,11.725
tt0169547,8214,Barry Del Sherman,2,6.102
tt0169547,64189,Ara Celi,1,4.416
tt0169547,68842,John Cho,2,17.992
tt0169547,45399,Fort Atkinson,2,1.837
tt0169547,166961,Sue Casey,1,1.989
tt0169547,9634,Kent Faulcon,2,6.901
tt0169547,1397945,Brenda Wehle,1,5.919
tt0169547,152796,Lisa Cloud,1,1.96
tt0169547,101687,Alison Faulk,1,4.487
tt0169547,1503019,Krista Goodsitt,1,0.694
tt0169547,1503020,Lily Houtkin,1,0.73
tt0169547,1503021,Carolina Lancaster,1,1.38
tt0169547,1503022,Mona Leah,1,1.38
tt0169547,1503023,Chekesha Van Putten,1,3.534
tt0169547,1503024,Emily Zachary,1,0.828
tt0169547,1503030,Nancy Anderson,1,2.853
tt0169547,568656,Reshma Gajjar,1,4.841
tt0169547,1503025,Stephanie Rizzo,1,0.608
tt0169547,1503026,Heather Joy Sher,1,2.744
tt0169547,1219143,Chelsea Hertford,1,11.372
tt0169547,42715,Amber Smith,1,10.088
tt0169547,12223,Joel McCrary,2,14.748
tt0169547,76742,Marissa Jaret Winokur,1,10.633
tt0169547,1441804,Dennis Anderson,0,1.052
tt0169547,177623,Matthew Kimbrough,2,5.791
tt0169547,1448568,Erin Cathryn Strubbe,0,2.372
tt0169547,4342261,Thomas J. Armstrong,0,1.548
tt0169547,8215,Bruce Cohen,2,2.751
tt0169547,1503027,Elaine Corral Kendall,1,6.638
tt0169547,1503028,David C. Fisher,2,2.744
tt0169547,2600067,James Hunter,0,1.4
tt0169547,2666286,Spencer Kayden,1,1.388
tt0169547,1503029,Tom Miller,2,1.62
tt0169547,18802,Ronald Reagan,2,7.814
tt2582802,996701,Miles Teller,2,29.317
tt2582802,18999,J.K. Simmons,2,65.53
tt2582802,781,Paul Reiser,2,15.53
tt2582802,129104,Melissa Benoist,1,31.128
tt2582802,970216,Austin Stowell,2,15.444
tt2582802,15824,Chris Mulkey,2,12.533
tt2582802,1451540,Nate Lang,2,4.799
tt2582802,1451542,Charlie Ian,0,2.25
tt2582802,223012,Jayson Blair,2,4.557
tt2582802,159366,Kavita Patil,1,5.356
tt2582802,53454,Damon Gupton,2,5.734
tt2582802,1212459,Suanne Spoke,1,4.995
tt2582802,52939,Max Kasch,2,6.29
tt2582802,1451543,Kofi Siriboe,2,4.712
tt2582802,1451545,C.J. Vana,0,3.805
tt2582802,171766,Tarik Lowe,2,3.752
tt2582802,1398714,Tyler Kimball,0,1.403
tt2582802,1503721,Rogelio Douglas Jr.,2,2.188
tt2582802,1503834,Adrian Burks,0,1.932
tt2582802,1503835,Joseph Bruno,0,1.214
tt2582802,1296849,Michael D. Cohen,2,10.625
tt2582802,1098246,Jocelyn Ayanna,1,5.083
tt2582802,1503836,Keenan Henson,2,5.094
tt2582802,1503837,Janet Hoskins,0,0.758
tt2582802,10691,April Grace,1,10.328
tt2582802,1503838,Clifton 'Fou Fou' Eddie,0,1.62
tt2582802,1145677,Calvin C. Winbush,2,1.975
tt2582802,1291961,Marcus Henderson,2,4.844
tt2582802,1503841,Tony Baker,0,4.077
tt2582802,16506,Henry G. Sanders,2,9.769
tt2582802,1503842,Sam Campisi,0,1.38
tt2582802,1503843,Jimmie Kirkpatrick,0,0.6
tt2582802,1503844,Keenan Allen,2,2.486
tt2582802,1503845,Ayinde Vaughan,0,1.094
tt2582802,1435768,Shai Golan,0,1.932
